Time,HR,Skin_Temp,GSR,AirTemp,Movement,HR_stdv,GSR_stdv,unkown_stdv
2020-11-04 09:25:59,84,71.66666666666667,1.4724605417248956e-07,5132964.75,681,0.0,7.567871710003205e-08,6549366.425159703
2020-11-04 09:26:59,66.11111111111111,74.66666666666667,1.4315767578003778e-07,6219416.75,326,0.4581228472908512,8.688220899478789e-08,6181161.019107024
2020-11-04 09:28:59,89.33333333333333,76.83333333333333,1.1734504108786393e-07,6661245,54,5.120763831912406,5.826603603368474e-08,4989725.555034014
2020-11-04 09:29:59,71.0909090909091,77,1.573559982064741e-07,8473969,330,15.739091722982709,8.801767476208205e-08,6811913.290100477
2020-11-04 09:30:59,83.56666666666666,77.5,1.257269571588274e-07,4600181.25,51,3.456234302757201,7.676951090955917e-08,4022783.860509496
2020-11-04 09:31:59,82.66101694915254,78,1.119630032501331e-07,5583481.5,237,3.181568579620966,6.80241769447968e-08,4122927.8130366593
2020-11-04 09:32:59,84.41666666666667,78,1.2518310045437736e-07,6367081.5,420,1.2687482895445503,6.037888788265338e-08,4668180.868311686
2020-11-04 09:33:59,85.21666666666667,78,1.3665176066830002e-07,7366013.5,226,1.2259916621068658,6.765560354750656e-08,5890452.295071003
2020-11-04 09:34:59,85.01666666666667,78,1.225621617567628e-07,4187021.75,714,1.3600449338982232,6.330836022138291e-08,3856782.0223776824
2020-11-04 09:35:59,85.16279069767442,77.5,1.1519645999374549e-07,5348717.5,234,1.598403746738566,5.872037856359286e-08,4030956.042680043
2020-11-04 09:36:59,73.8695652173913,77,1.2453051918086842e-07,6544489.5,170,0.9914568913905548,7.113523170606825e-08,4822085.027153166
2020-11-04 09:37:59,78.36666666666666,77,1.2346923806644896e-07,7185573.75,391,1.8436075745366443,6.184458867681723e-08,5597392.454822128
2020-11-04 09:38:59,80.5111111111111,77,1.1971139611703458e-07,3942034,634,1.327022100162988,5.616628833017652e-08,4025886.845671212
2020-11-04 09:39:59,79.82758620689656,77,9.621426882809051e-08,5136778,770,2.3203591505187204,4.9919480039492394e-08,4104754.491056012
2020-11-04 09:40:59,78.6470588235294,77,8.60561354014271e-08,6461570,51,1.5696075369560392,6.131113416441232e-08,4867913.909813063
2020-11-04 09:41:59,80.45833333333333,77,6.507852628166671e-08,7969162,172,2.0712147536060947,1.2469010726152836e-09,6196246.8855260685
2020-11-04 09:42:59,78.31666666666666,76.91666666666667,6.293585583996954e-08,4722842.25,134,3.8012790245155936,3.273812520247994e-10,5896985.414291499
2020-11-04 09:43:59,85.36363636363636,76.25,6.357047075880135e-08,5545074.25,35,3.15285519295901,1.3652278469616994e-09,5127844.590411325
2020-11-04 09:44:59,73.06896551724138,77,6.40063032090907e-08,6957990.5,66,6.984865582508191,7.444377515245893e-10,5827557.956638205
2020-11-04 09:45:59,85.15,77,6.328449666835035e-08,7925402.5,51,1.5146506747982078,3.358163957968413e-10,6258232.322897996
2020-11-04 09:46:59,84,77,6.490706922272805e-08,8339566.5,325,0.0,1.308598019416394e-09,6622932.980505937
2020-11-04 09:47:59,82.36,77,6.501060348992284e-08,5268627,35,0.932952303175248,9.702007983004938e-10,5222269.696146159
2020-11-04 09:48:59,70.75,77.16666666666667,8.478195180396436e-08,6346390.75,477,1.299038105676658,5.919643714525717e-08,5233883.147886108
2020-11-04 09:49:59,75.94339622641509,78,1.1094805367068196e-07,7346070.75,84,2.9741978106019666,7.866285946874494e-08,5677088.852061961
2020-11-04 09:50:59,80.86666666666666,77.41666666666667,7.136785649579241e-08,4826027,515,4.988208317845419,3.7825594900783336e-08,5939347.096682219
2020-11-04 09:51:59,80.79661016949153,77,1.344714879044541e-07,4040359,382,6.409155688906484,8.461139817170136e-08,3783711.4329838236
2020-11-04 09:52:59,75.75862068965517,77,1.0414360096523266e-07,5350039,284,0.9704308468600199,6.4195045145236e-08,4155977.9230747246
2020-11-04 09:54:59,78.3,77,7.077193375495463e-08,7071623,155,0.9539392014169457,4.102548129009301e-09,5481140.190326507
2020-11-04 09:56:59,81.6,76.16666666666667,7.041641370029466e-08,4810875.25,169,1.8547236990991407,4.126357531281645e-09,3683207.449774814
2020-11-04 09:57:59,85.76923076923077,76,8.165225941739298e-08,6234491.25,68,3.890893631858608,3.7386758546109416e-08,4649773.328331252
2020-11-04 09:58:59,72.34545454545454,76,1.1977926605695734e-07,7758975.25,51,3.2035104711617497,8.232622030358845e-08,6010053.012959095
2020-11-04 09:59:59,73.23333333333333,76,1.3214718377312596e-07,3482771.5,583,3.76105777083463,7.612413156545517e-08,4071317.473152548
2020-11-04 10:00:59,78.88571428571429,75.16666666666667,1.2446773084817107e-07,5382555.5,52,0.4642307659791977,7.521566512477312e-08,5055393.1317155985
2020-11-04 10:01:59,69,75,1.3840617026903713e-07,3122919.5,34,0.0,8.786956337672692e-08,2872507.2281449963
2020-11-04 10:02:59,71.7,74.83333333333333,9.584490798082829e-08,4349655.25,126,1.8734993995195195,6.91132601160288e-08,4396045.59739059
2020-11-04 10:03:59,67.22727272727273,74.08333333333333,1.3186668351622956e-07,5349339.25,103,4.133365546839724,9.050185181633414e-08,6083377.066422168
2020-11-04 10:04:59,71,74,1.019472421335143e-07,2138075.5,169,0.0,6.754675983100763e-08,663841.8915918533
2020-11-04 10:05:59,68.03571428571429,74,1.1540588133216327e-07,6038163.75,137,3.649678487377277,8.223518873761076e-08,4919441.264016289
2020-11-04 10:06:59,70.11666666666666,74,1.202928805293441e-07,6332567.5,265,7.532356131310368,7.739886474816712e-08,4625841.231824137
2020-11-04 10:07:59,72.61016949152543,74,1.3911217933426416e-07,7267215.75,68,4.584487288681928,8.363047462160226e-08,5734607.084411642
2020-11-04 10:08:59,66.93023255813954,74,1.276410929783454e-07,4023424,362,7.635277210779685,7.482584058068117e-08,3864511.678830263
2020-11-04 10:11:59,74.61702127659575,74,6.354355233241274e-08,6890903.75,280,2.2078505142251657,2.8647099499933996e-09,5345484.2700728895
2020-11-04 10:12:59,75.6,74,1.0415242486070949e-07,3679384,436,1.8366636418607882,7.544081448758878e-08,3920933.069571132
2020-11-04 10:13:59,77.26666666666667,73.75,1.2253054405250166e-07,4662172.25,103,3.5677568427359074,8.544996900627346e-08,3583283.663272165
2020-11-04 10:14:59,74.5,73,9.80518512141057e-08,6382708,185,2.6236107434856515,6.837271043578434e-08,4905116.784933107
2020-11-04 10:15:59,73.41025641025641,73,1.1440965402572536e-07,4336356,354,2.180542730817364,7.817699616012987e-08,4867479.132959945
2020-11-04 10:16:59,85.29787234042553,73,1.0848839532291735e-07,8209027.75,220,4.423894950933456,7.42924425890069e-08,6642587.685513431
2020-11-04 10:18:59,83.11111111111111,72,6.524541440288682e-08,5499784.25,68,5.4046162253401375,8.56358820595382e-10,3950044.8302950547
